order_num_clean,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,total_cost,profit,profit_margin_clean,state,state_name,us_region,lat,lon,budget,order_year,order_quarter,quarter_label,order_month,order_month_name,order_month_num,is_weekend,gross_profit_ratio,cost_ratio,revenue_per_unit,profit_per_unit,revenue_tier,margin_tier,price_tier,customer_segment,budget_flag,budget_variance,budget_variance_pct
SO - 0007608,01-01-2014,Eire Corp,Distributor,Product 15,10,1983.2,19832,1606.392,16063.92,3768.08,19,OH,Ohio,Midwest,39.75895,-84.19161,,2014,1,Q1,2014-01,January,1,0,0.19,0.81,1983.2,376.81,Large ($15K-$30K),Low (<=25%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0007951,01-01-2014,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,949.725,222.775,19,IL,Illinois,Midwest,41.94151,-88.321,,2014,1,Q1,2014-01,January,1,0,0.19,0.81,167.5,31.82,Small (<$5K),Low (<=25%),Budget (<$500),Bottom 50% (Low),No Budget,,
SO - 0001068,01-01-2014,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,7221.126,2949.474,29,NY,New York,Northeast,40.71258,-73.19552,,2014,1,Q1,2014-01,January,1,0,0.29,0.71,924.6,268.13,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0002010,01-01-2014,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,5978.544,5518.656,48,MI,Michigan,Midwest,42.71434,-84.55928,,2014,1,Q1,2014-01,January,1,0,0.48,0.52,1045.2,501.7,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Top 20% (VIP),No Budget,,
SO - 0002504,01-01-2014,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,8696.6,13044.9,60,PA,Pennsylvania,Northeast,40.44062,-79.99589,,2014,1,Q1,2014-01,January,1,0,0.6,0.4,1976.5,1185.9,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0009931,01-01-2014,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.19,21535.14,17619.66,45,AZ,Arizona,West,33.37032,-112.58378,,2014,1,Q1,2014-01,January,1,0,0.45,0.55,6525.8,2936.61,Very Large ($30K-$57K),High (41-55%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0009346,01-01-2014,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.9,839.711,5877.977,1203.923,17,CA,California,West,38.10409,-122.25664,,2014,1,Q1,2014-01,January,1,0,0.17,0.83,1011.7,171.99,Medium ($5K-$15K),Low (<=25%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0002468,01-01-2014,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,10788.608,5076.992,32,CA,California,West,34.02862,-117.81034,,2014,1,Q1,2014-01,January,1,0,0.32,0.68,1983.2,634.62,Large ($15K-$30K),Medium (26-40%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0003850,01-01-2014,Epic Group,Wholesale,Product 13,6,2653.2,15919.2,1485.792,8914.752,7004.448,44,CA,California,West,33.6603,-117.99923,,2014,1,Q1,2014-01,January,1,0,0.44,0.56,2653.2,1167.41,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0006279,01-01-2014,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.6,1538.32,10768.24,16152.36,60,FL,Florida,South,28.11873,-81.47923,,2014,1,Q1,2014-01,January,1,0,0.6,0.4,3845.8,2307.48,Large ($15K-$30K),Premium (>55%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0006313,01-01-2014,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,12246.528,2332.672,16,CA,California,West,33.60002,-117.672,,2014,1,Q1,2014-01,January,1,0,0.16,0.84,1822.4,291.58,Medium ($5K-$15K),Low (<=25%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0010604,01-01-2014,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.6,4113.666,45250.326,10614.274,19,AL,Alabama,South,32.60986,-85.48078,,2014,1,Q1,2014-01,January,1,0,0.19,0.81,5078.6,964.93,Very Large ($30K-$57K),Low (<=25%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0008840,01-01-2014,Actavis Company,Distributor,Product 2,7,844.2,5909.4,616.266,4313.862,1595.538,27,LA,Louisiana,South,29.98409,-90.15285,,2014,1,Q1,2014-01,January,1,0,0.27,0.73,844.2,227.93,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Mid 30% (Regular),No Budget,,
SO - 0004336,01-01-2014,Mita Corp,Export,Product 14,9,268,2412,227.8,2050.2,361.8,15,NC,North Carolina,South,35.92812,-79.03742,,2014,1,Q1,2014-01,January,1,0,0.15,0.85,268,40.2,Small (<$5K),Low (<=25%),Budget (<$500),Bottom 50% (Low),No Budget,,
SO - 0005121,01-01-2014,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.6,4090.752,24544.512,9545.088,28,MA,Massachusetts,Northeast,42.3751,-71.10561,,2014,1,Q1,2014-01,January,1,0,0.28,0.72,5681.6,1590.85,Very Large ($30K-$57K),Medium (26-40%),Luxury (>$5K),Mid 30% (Regular),No Budget,,
SO - 0010233,01-01-2014,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,11191.278,16104.522,59,PA,Pennsylvania,Northeast,40.03788,-76.30551,,2014,1,Q1,2014-01,January,1,0,0.59,0.41,3899.4,2300.65,Large ($15K-$30K),Premium (>55%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0002206,01-01-2014,General Company,Wholesale,Product 16,8,174.2,1393.6,109.746,877.968,515.632,37,CA,California,West,33.03699,-117.29198,,2014,1,Q1,2014-01,January,1,0,0.37,0.63,174.2,64.45,Small (<$5K),Medium (26-40%),Budget (<$500),Bottom 50% (Low),No Budget,,
SO - 0002543,01-01-2014,Terumo Corp,Export,Product 14,9,3644.8,32803.2,2587.808,23290.272,9512.928,29,CA,California,West,34.01945,-118.49119,,2014,1,Q1,2014-01,January,1,0,0.29,0.71,3644.8,1056.99,Very Large ($30K-$57K),Medium (26-40%),High-End ($3K-$5K),Top 20% (VIP),No Budget,,
SO - 0002921,01-01-2014,Bluezoom Group,Wholesale,Product 26,10,5875.9,58759,4289.407,42894.07,15864.93,27,NH,New Hampshire,Northeast,42.99564,-71.45479,,2014,1,Q1,2014-01,January,1,0,0.27,0.73,5875.9,1586.49,Enterprise ($57K+),Medium (26-40%),Luxury (>$5K),Mid 30% (Regular),No Budget,,
SO - 0003715,01-01-2014,US Ltd,Wholesale,Product 26,10,1085.4,10854,857.466,8574.66,2279.34,21,IL,Illinois,Midwest,42.25884,-89.06455,,2014,1,Q1,2014-01,January,1,0,0.21,0.79,1085.4,227.93,Medium ($5K-$15K),Low (<=25%),Standard ($500-$1.5K),Top 20% (VIP),No Budget,,
SO - 0004471,01-01-2014,Accudial Company,Wholesale,Product 14,12,2237.8,26853.6,939.876,11278.512,15575.088,58,GA,Georgia,South,33.36149,-82.075,,2014,1,Q1,2014-01,January,1,0,0.58,0.42,2237.8,1297.92,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0004751,01-01-2014,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,4643.1,5909.4,56,CA,California,West,33.78252,-117.22865,,2014,1,Q1,2014-01,January,1,0,0.56,0.44,1172.5,656.6,Medium ($5K-$15K),Premium (>55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0006833,01-01-2014,BB17 Company,Export,Product 4,7,2613,18291,2142.66,14998.62,3292.38,18,NJ,New Jersey,Northeast,40.85964,-74.42335,,2014,1,Q1,2014-01,January,1,0,0.18,0.82,2613,470.34,Large ($15K-$30K),Low (<=25%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0008532,01-01-2014,Wordware Company,Wholesale,Product 5,11,938,10318,675.36,7428.96,2889.04,28,UT,Utah,West,41.06022,-111.97105,,2014,1,Q1,2014-01,January,1,0,0.28,0.72,938,262.64,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0010560,01-01-2014,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.818,14734.908,3234.492,18,KY,Kentucky,South,38.25424,-85.75941,,2014,1,Q1,2014-01,January,1,0,0.18,0.82,2994.9,539.08,Large ($15K-$30K),Low (<=25%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0003527,02-01-2014,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,15724.632,2995.168,16,CA,California,West,37.54827,-121.98857,,2014,1,Q1,2014-01,January,1,0,0.16,0.84,1701.8,272.29,Large ($15K-$30K),Low (<=25%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0003901,02-01-2014,Yodoo Ltd,Wholesale,Product 25,5,1728.6,8643,1019.874,5099.37,3543.63,41,NY,New York,Northeast,40.91149,-73.78235,,2014,1,Q1,2014-01,January,1,0,0.41,0.59,1728.6,708.73,Medium ($5K-$15K),High (41-55%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0001098,02-01-2014,Golden Corp,Wholesale,Product 30,11,1675,18425,1155.75,12713.25,5711.75,31,IL,Illinois,Midwest,39.79106,-89.64457,,2014,1,Q1,2014-01,January,1,0,0.31,0.69,1675,519.25,Large ($15K-$30K),Medium (26-40%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0001725,02-01-2014,Mita Corp,Wholesale,Product 15,8,6525.8,52206.4,2806.094,22448.752,29757.648,57,IL,Illinois,Midwest,41.56858,-87.80422,,2014,1,Q1,2014-01,January,1,0,0.57,0.43,6525.8,3719.71,Very Large ($30K-$57K),Premium (>55%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0002795,02-01-2014,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,30206.28,16264.92,35,IN,Indiana,Midwest,39.47555,-87.38835,,2014,1,Q1,2014-01,January,1,0,0.35,0.65,3872.6,1355.41,Very Large ($30K-$57K),Medium (26-40%),High-End ($3K-$5K),Bottom 50% (Low),No Budget,,
SO - 0003310,02-01-2014,General Company,Distributor,Product 26,10,1038.5,10385,529.635,5296.35,5088.65,49,CA,California,West,37.59583,-122.01917,,2014,1,Q1,2014-01,January,1,0,0.49,0.51,1038.5,508.86,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0004126,02-01-2014,ALK-Abello Ltd,Wholesale,Product 14,10,3041.8,30418,2038.006,20380.06,10037.94,33,FL,Florida,South,27.8428,-82.69954,,2014,1,Q1,2014-01,January,1,0,0.33,0.67,3041.8,1003.79,Very Large ($30K-$57K),Medium (26-40%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0005940,02-01-2014,Vinte Group,Export,Product 13,6,5212.6,31275.6,2814.804,16888.824,14386.776,46,CA,California,West,37.00578,-121.56828,,2014,1,Q1,2014-01,January,1,0,0.46,0.54,5212.6,2397.8,Very Large ($30K-$57K),High (41-55%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0006793,02-01-2014,The Ltd,Export,Product 14,10,3953,39530,3043.81,30438.1,9091.9,23,MI,Michigan,Midwest,42.33143,-83.04575,,2014,1,Q1,2014-01,January,1,0,0.23,0.77,3953,909.19,Very Large ($30K-$57K),Low (<=25%),High-End ($3K-$5K),Bottom 50% (Low),No Budget,,
SO - 0007868,02-01-2014,Wordpedia Ltd,Distributor,Product 3,9,850.9,7658.1,433.959,3905.631,3752.469,49,CA,California,West,38.75212,-121.28801,,2014,1,Q1,2014-01,January,1,0,0.49,0.51,850.9,416.94,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Mid 30% (Regular),No Budget,,
SO - 0009934,02-01-2014,Cadila Ltd,Export,Product 3,11,2519.2,27711.2,1058.064,11638.704,16072.496,58,TX,Texas,South,31.54933,-97.14667,,2014,1,Q1,2014-01,January,1,0,0.58,0.42,2519.2,1461.14,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0000791,02-01-2014,Jayo Company,Export,Product 17,5,3108.8,15544,1896.368,9481.84,6062.16,39,CA,California,West,33.99307,-117.96868,,2014,1,Q1,2014-01,January,1,0,0.39,0.61,3108.8,1212.43,Large ($15K-$30K),Medium (26-40%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0003756,02-01-2014,Bath Group,Export,Product 30,10,221.1,2211,128.238,1282.38,928.62,42,IL,Illinois,Midwest,41.60815,-87.85929,,2014,1,Q1,2014-01,January,1,0,0.42,0.58,221.1,92.86,Small (<$5K),High (41-55%),Budget (<$500),Top 20% (VIP),No Budget,,
SO - 0004390,02-01-2014,Trunyx Ltd,Export,Product 16,6,5929.5,35577,4209.945,25259.67,10317.33,29,CT,Connecticut,Northeast,41.5585,-73.03668,,2014,1,Q1,2014-01,January,1,0,0.29,0.71,5929.5,1719.56,Very Large ($30K-$57K),Medium (26-40%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0006241,02-01-2014,Roomm Company,Wholesale,Product 3,10,1065.3,10653,628.527,6285.27,4367.73,41,TX,Texas,South,30.62798,-96.33441,,2014,1,Q1,2014-01,January,1,0,0.41,0.59,1065.3,436.77,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0008226,02-01-2014,Tambee Company,Wholesale,Product 20,11,938,10318,684.74,7532.14,2785.86,27,NY,New York,Northeast,40.88409,-73.37676,,2014,1,Q1,2014-01,January,1,0,0.27,0.73,938,253.26,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Mid 30% (Regular),No Budget,,
SO - 0010346,02-01-2014,Voolia Ltd,Export,Product 4,5,5708.4,28542,2283.36,11416.8,17125.2,60,CT,Connecticut,Northeast,41.5585,-73.03668,,2014,1,Q1,2014-01,January,1,0,0.6,0.4,5708.4,3425.04,Large ($15K-$30K),Premium (>55%),Luxury (>$5K),Mid 30% (Regular),No Budget,,
SO - 0004104,02-01-2014,Podcat Corp,Wholesale,Product 23,7,3839.1,26873.7,2457.024,17199.168,9674.532,36,ND,North Dakota,Midwest,47.92526,-97.03285,,2014,1,Q1,2014-01,January,1,0,0.36,0.64,3839.1,1382.08,Large ($15K-$30K),Medium (26-40%),High-End ($3K-$5K),Bottom 50% (Low),No Budget,,
SO - 0005545,02-01-2014,Dynazzy Company,Wholesale,Product 2,8,1098.8,8790.4,483.472,3867.776,4922.624,56,CT,Connecticut,Northeast,41.77524,-72.52443,,2014,1,Q1,2014-01,January,1,0,0.56,0.44,1098.8,615.33,Medium ($5K-$15K),Premium (>55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0005765,02-01-2014,Talane Group,Distributor,Product 13,7,5688.3,39818.1,2502.852,17519.964,22298.136,56,CA,California,West,37.54827,-121.98857,,2014,1,Q1,2014-01,January,1,0,0.56,0.44,5688.3,3185.45,Very Large ($30K-$57K),Premium (>55%),Luxury (>$5K),Top 20% (VIP),No Budget,,
SO - 0006767,02-01-2014,Oozz Group,Distributor,Product 16,10,1983.2,19832,1269.248,12692.48,7139.52,36,AZ,Arizona,West,33.44838,-112.07404,,2014,1,Q1,2014-01,January,1,0,0.36,0.64,1983.2,713.95,Large ($15K-$30K),Medium (26-40%),Premium ($1.5K-$3K),Top 20% (VIP),No Budget,,
SO - 0006883,02-01-2014,SHISEIDO Ltd,Distributor,Product 7,12,1246.2,14954.4,834.954,10019.448,4934.952,33,FL,Florida,South,28.03446,-80.58866,,2014,1,Q1,2014-01,January,1,0,0.33,0.67,1246.2,411.25,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0007017,02-01-2014,Zoomzone Corp,Distributor,Product 5,9,3825.7,34431.3,2486.705,22380.345,12050.955,35,OH,Ohio,Midwest,41.45282,-82.18237,,2014,1,Q1,2014-01,January,1,0,0.35,0.65,3825.7,1338.99,Very Large ($30K-$57K),Medium (26-40%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0007493,02-01-2014,Browsetype Corp,Wholesale,Product 18,8,2351.7,18813.6,1293.435,10347.48,8466.12,45,FL,Florida,South,26.12231,-80.14338,,2014,1,Q1,2014-01,January,1,0,0.45,0.55,2351.7,1058.27,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0008686,02-01-2014,Vimbo Company,Export,Product 21,7,3189.2,22324.4,2647.036,18529.252,3795.148,17,CO,Colorado,West,40.42331,-104.70913,,2014,1,Q1,2014-01,January,1,0,0.17,0.83,3189.2,542.16,Large ($15K-$30K),Low (<=25%),High-End ($3K-$5K),Top 20% (VIP),No Budget,,
SO - 0008746,02-01-2014,Cantrell Company,Distributor,Product 16,10,2244.5,22445,920.245,9202.45,13242.55,59,IN,Indiana,Midwest,41.65183,-85.94312,,2014,1,Q1,2014-01,January,1,0,0.59,0.41,2244.5,1324.26,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0001523,02-01-2014,Accudial Company,Distributor,Product 25,5,6137.2,30686,4234.668,21173.34,9512.66,31,CT,Connecticut,Northeast,41.76371,-72.68509,,2014,1,Q1,2014-01,January,1,0,0.31,0.69,6137.2,1902.53,Very Large ($30K-$57K),Medium (26-40%),Luxury (>$5K),Bottom 50% (Low),No Budget,,
SO - 0002194,02-01-2014,Quaxo Ltd,Wholesale,Product 20,7,2680,18760,1098.8,7691.6,11068.4,59,FL,Florida,South,28.47689,-82.52546,,2014,1,Q1,2014-01,January,1,0,0.59,0.41,2680,1581.2,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0002824,02-01-2014,Zooxo Ltd,Wholesale,Product 15,8,1092.1,8736.8,589.734,4717.872,4018.928,46,CA,California,West,38.60336,-121.38005,,2014,1,Q1,2014-01,January,1,0,0.46,0.54,1092.1,502.37,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0002859,02-01-2014,Realcube Company,Distributor,Product 8,11,1688.4,18572.4,776.664,8543.304,10029.096,54,IN,Indiana,Midwest,37.97476,-87.55585,,2014,1,Q1,2014-01,January,1,0,0.54,0.46,1688.4,911.74,Large ($15K-$30K),High (41-55%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0003113,02-01-2014,Feednation Corp,Wholesale,Product 25,8,1802.3,14418.4,1297.656,10381.248,4037.152,28,CA,California,West,37.49466,-120.84659,,2014,1,Q1,2014-01,January,1,0,0.28,0.72,1802.3,504.64,Medium ($5K-$15K),Medium (26-40%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0004190,02-01-2014,Mydo Corp,Wholesale,Product 13,10,3946.3,39463,2249.391,22493.91,16969.09,43,TX,Texas,South,29.99883,-95.1766,,2014,1,Q1,2014-01,January,1,0,0.43,0.57,3946.3,1696.91,Very Large ($30K-$57K),High (41-55%),High-End ($3K-$5K),Bottom 50% (Low),No Budget,,
SO - 0004531,02-01-2014,Neutrogena Ltd,Distributor,Product 12,6,3932.9,23597.4,2084.437,12506.622,11090.778,47,MI,Michigan,Midwest,42.33698,-83.27326,,2014,1,Q1,2014-01,January,1,0,0.47,0.53,3932.9,1848.46,Large ($15K-$30K),High (41-55%),High-End ($3K-$5K),Mid 30% (Regular),No Budget,,
SO - 0004734,02-01-2014,Mylan Corp,Distributor,Product 11,9,1105.5,9949.5,486.42,4377.78,5571.72,56,NY,New York,Northeast,40.72833,-73.99417,,2014,1,Q1,2014-01,January,1,0,0.56,0.44,1105.5,619.08,Medium ($5K-$15K),Premium (>55%),Standard ($500-$1.5K),Mid 30% (Regular),No Budget,,
SO - 0005505,02-01-2014,Realpoint Corp,Wholesale,Product 21,6,1802.3,10813.8,1315.679,7894.074,2919.726,27,TX,Texas,South,33.91371,-98.49339,,2014,1,Q1,2014-01,January,1,0,0.27,0.73,1802.3,486.62,Medium ($5K-$15K),Medium (26-40%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0006105,02-01-2014,Neutrogena Ltd,Export,Product 14,11,1896.1,20857.1,777.401,8551.411,12305.689,59,FL,Florida,South,26.12759,-80.2331,,2014,1,Q1,2014-01,January,1,0,0.59,0.41,1896.1,1118.7,Large ($15K-$30K),Premium (>55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0007660,02-01-2014,Safecor Corp,Wholesale,Product 27,5,2921.2,14606,2103.264,10516.32,4089.68,28,MA,Massachusetts,Northeast,42.33176,-71.12116,,2014,1,Q1,2014-01,January,1,0,0.28,0.72,2921.2,817.94,Medium ($5K-$15K),Medium (26-40%),Premium ($1.5K-$3K),Bottom 50% (Low),No Budget,,
SO - 0009316,02-01-2014,Meejo Corp,Wholesale,Product 11,11,2867.6,31543.6,1319.096,14510.056,17033.544,54,CA,California,West,34.06862,-118.02757,,2014,1,Q1,2014-01,January,1,0,0.54,0.46,2867.6,1548.5,Very Large ($30K-$57K),High (41-55%),Premium ($1.5K-$3K),Mid 30% (Regular),No Budget,,
SO - 0009694,02-01-2014,Fivechat Company,Wholesale,Product 14,10,911.2,9112,637.84,6378.4,2733.6,30,MO,Missouri,Midwest,39.01695,-94.28161,,2014,1,Q1,2014-01,January,1,0,0.3,0.7,911.2,273.36,Medium ($5K-$15K),Medium (26-40%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0008905,02-01-2014,Pacific Ltd,Wholesale,Product 2,7,1092.1,7644.7,589.734,4128.138,3516.562,46,IL,Illinois,Midwest,42.03336,-87.8834,,2014,1,Q1,2014-01,January,1,0,0.46,0.54,1092.1,502.37,Medium ($5K-$15K),High (41-55%),Standard ($500-$1.5K),Bottom 50% (Low),No Budget,,
SO - 0010547,02-01-2014,NCS Group,Wholesale,Product 27,7,207.7,1453.9,176.545,1235.815,218.085,15,WA,Washington,West,47.30377,-122.21,,2014,1,Q1,2014-01,January,1,0,0.15,0.85,207.7,31.16,Small (<$5K),Low (<=25%),Budget (<$500),Top 20% (VIP),No Budget,,
